Tempo;ID;Eixo_X;Eixo_Y;Eixo_Z;Distancia_Passo;Distancia_Total
0,00;/tracking/trackers/3/rotation;-0,0861;99,3761;-0,3911
0,00;/tracking/trackers/6/rotation;9,9345;98,7654;-0,1004
0,00;/tracking/trackers/1/rotation;10,8148;97,4903;-5,7226
0,00;/tracking/trackers/4/rotation;-4,8885;96,3966;-3,2498
0,00;/tracking/trackers/5/rotation;-17,9627;95,2061;6,5626
0,00;/tracking/trackers/2/rotation;-0,1144;93,7875;-0,3393
0,00;/tracking/trackers/3/rotation;-0,0680;99,3790;-0,4007
0,00;/tracking/trackers/6/rotation;9,5743;98,8394;-0,3030
0,00;/tracking/trackers/1/rotation;10,6309;98,0105;-5,8874
0,00;/tracking/trackers/4/rotation;-5,0425;96,5537;-3,2516
0,00;/tracking/trackers/5/rotation;-17,7876;95,4382;6,5901
0,00;/tracking/trackers/2/rotation;-0,1198;93,7912;-0,3379
0,00;/tracking/trackers/3/rotation;-0,0509;99,3899;-0,4075
0,00;/tracking/trackers/6/rotation;9,1294;98,8531;-0,4915
0,00;/tracking/trackers/1/rotation;10,4800;98,4295;-6,0189
0,00;/tracking/trackers/4/rotation;-5,2392;96,7062;-3,2711
0,00;/tracking/trackers/5/rotation;-17,6219;95,6407;6,5977
0,00;/tracking/trackers/2/rotation;-0,1315;93,8081;-0,3309
0,00;/tracking/trackers/3/rotation;-0,0410;99,3986;-0,4109
0,00;/tracking/trackers/6/rotation;8,7407;98,8466;-0,6516
0,00;/tracking/trackers/1/rotation;10,3315;98,7818;-6,1344
0,00;/tracking/trackers/4/rotation;-5,4305;96,7194;-3,3160
0,00;/tracking/trackers/5/rotation;-17,4094;95,8727;6,5665
0,00;/tracking/trackers/2/rotation;-0,1554;93,8646;-0,3155
0,00;/tracking/trackers/3/rotation;-0,0356;99,4058;-0,4195
0,00;/tracking/trackers/6/rotation;8,4179;98,8285;-0,8130
0,00;/tracking/trackers/1/rotation;10,1219;99,0542;-6,2403
0,00;/tracking/trackers/4/rotation;-5,6484;96,6030;-3,3733
0,00;/tracking/trackers/5/rotation;-17,2006;96,0975;6,5185
0,00;/tracking/trackers/2/rotation;-0,1828;93,9330;-0,2964
0,00;/tracking/trackers/3/rotation;-0,0304;99,4112;-0,4343
0,00;/tracking/trackers/6/rotation;8,1510;98,8148;-0,9740
0,00;/tracking/trackers/1/rotation;9,8417;99,2574;-6,2935
0,00;/tracking/trackers/4/rotation;-5,8612;96,4375;-3,4335
0,00;/tracking/trackers/5/rotation;-16,9390;96,3793;6,3478
0,00;/tracking/trackers/2/rotation;-0,2090;94,0046;-0,2760
