Tempo;ID;Eixo_X;Eixo_Y;Eixo_Z;Distancia_Passo;Distancia_Total
0,00;/tracking/trackers/6/rotation;-1,08;-16,34;2,77;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,57;-6,30;0,43;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-1,99;-7,97;-3,99;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,37;-2,79;4,04;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,04;-0,04;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,59;-0,07;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,03;-18,06;3,33;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,62;-7,00;0,41;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,06;-8,15;-4,01;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,30;-3,05;4,03;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,04;-0,05;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,59;-0,08;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-0,98;-19,42;3,78;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,65;-7,65;0,39;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,12;-8,31;-4,03;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,24;-3,32;4,03;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,04;-0,05;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,58;-0,08;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-0,96;-20,46;4,08;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,64;-8,36;0,36;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,16;-8,50;-4,04;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,18;-3,57;4,03;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,04;-0,05;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,58;-0,08;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,09;-20,60;4,03;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,63;-9,05;0,33;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,21;-8,74;-4,06;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,12;-3,81;4,03;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,03;-0,05;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,58;-0,08;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,26;-20,83;4,01;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,61;-9,82;0,29;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,27;-8,98;-4,07;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,04;-4,12;4,03;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,03;-0,05;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,57;-0,08;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,42;-21,12;3,99;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,61;-10,78;0,24;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,31;-9,19;-4,08;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,96;-4,44;4,04;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,02;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,57;-0,08;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,55;-21,41;3,97;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,61;-11,54;0,21;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,35;-9,36;-4,09;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,90;-4,73;4,05;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,02;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,55;-0,07;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,66;-21,82;3,93;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,62;-12,41;0,16;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,38;-9,50;-4,10;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,85;-4,98;4,06;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,02;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,54;-0,07;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,73;-22,27;3,85;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,64;-13,25;0,12;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,45;-9,92;-4,12;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,79;-5,37;4,08;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-8,00;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,53;-0,07;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,75;-22,65;3,74;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,65;-14,10;0,07;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,53;-10,55;-4,17;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,74;-5,72;4,10;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-7,96;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,53;-0,07;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,76;-22,94;3,66;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,67;-14,83;0,03;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,60;-11,16;-4,21;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,70;-6,04;4,13;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-7,93;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,52;-0,06;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,72;-23,13;3,54;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,69;-15,59;-0,02;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,66;-11,78;-4,24;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,66;-6,33;4,16;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-7,90;-0,06;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,52;-0,06;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,67;-23,26;3,43;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,70;-16,27;-0,06;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,71;-12,35;-4,27;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,63;-6,58;4,20;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-7,87;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,51;-0,06;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,66;-23,29;3,31;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,71;-16,90;-0,11;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,75;-12,77;-4,28;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,60;-6,83;4,25;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-7,83;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,51;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,66;-23,26;3,20;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,70;-17,52;-0,15;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,77;-13,22;-4,29;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,63;-7,12;4,31;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,04;-7,79;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,50;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,72;-23,09;3,06;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,67;-18,16;-0,21;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,79;-13,60;-4,30;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,68;-7,38;4,36;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,76;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,48;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,79;-22,89;2,92;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,63;-18,68;-0,25;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,80;-13,94;-4,30;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,73;-7,60;4,42;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,73;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,47;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,84;-22,72;2,81;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,57;-19,18;-0,28;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,80;-14,23;-4,30;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,77;-7,80;4,47;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,71;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,46;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-1,96;-22,30;2,60;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,50;-19,57;-0,31;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,80;-14,48;-4,30;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,86;-8,02;4,53;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,69;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,45;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-2,10;-21,69;2,33;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,43;-19,85;-0,33;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,79;-14,67;-4,30;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-0,98;-8,22;4,59;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,68;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,44;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-2,21;-21,11;2,08;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,36;-20,02;-0,34;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,78;-14,81;-4,30;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,10;-8,39;4,64;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,66;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,02;-8,43;-0,05;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-2,31;-20,31;1,76;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,28;-20,03;-0,32;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,76;-14,90;-4,29;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,27;-8,57;4,70;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,64;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,42;-0,06;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-2,35;-19,67;1,51;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,21;-19,89;-0,29;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,74;-14,89;-4,29;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,44;-8,67;4,76;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,62;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,41;-0,06;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-2,37;-19,09;1,28;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,15;-19,70;-0,26;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,73;-14,85;-4,28;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,60;-8,74;4,81;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,61;-0,07;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;-0,03;-8,40;-0,06;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;-2,38;-18,38;1,01;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;8,06;-19,38;-0,23;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-2,72;-14,75;-4,28;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-1,80;-8,73;4,86;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-7,59;-0,07;0,0000;0,0000
